date,ticker,close,volume
2026-07-01,ACME,100.05,120400
2026-07-02,ACME,99.82,98200
2026-07-06,ACME,100.51,143900
2026-07-07,ACME,99.59,110350
2026-07-08,ACME,99.59,131020
2026-07-09,ACME,100.51,99875
2026-07-10,ACME,99.82,125600
2026-07-13,ACME,100.05,118240
2026-07-14,ACME,101.20,102990
2026-07-15,ACME,100.74,140115
2026-07-16,ACME,101.20,97830
2026-07-17,ACME,100.05,133470
2026-07-20,ACME,99.82,121005
2026-07-21,ACME,100.51,108660
2026-07-22,ACME,99.59,126390
2026-07-23,ACME,99.59,115725
2026-07-24,ACME,100.51,139880
2026-07-27,ACME,99.82,104455
2026-07-28,ACME,100.05,129310
2026-07-29,ACME,101.20,112870
2026-07-30,ACME,100.74,136545
2026-07-31,ACME,101.20,101990
